TermID	padj	species
ChlI/MoxR, AAA lid domain	9.015539882951556e-4	Ptrichocarpa
DDX47/Rrp3, DEAD-box helicase domain	9.015539882951556e-4	Ptrichocarpa
DNA repair Rad51/transcription factor NusA, alpha-helical	9.015539882951556e-4	Ptrichocarpa
Endoplasmic reticulum chaperone BIP, nucleotide-binding domain	9.015539882951556e-4	Ptrichocarpa
GTP-binding protein, orthogonal bundle domain superfamily	9.015539882951556e-4	Ptrichocarpa
H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote	9.015539882951556e-4	Ptrichocarpa
Lysine-tRNA ligase, class II	9.015539882951556e-4	Ptrichocarpa
Lysine-tRNA ligase, class II, N-terminal	9.015539882951556e-4	Ptrichocarpa
Lysyl-tRNA synthetase, class II, C-terminal	9.015539882951556e-4	Ptrichocarpa
Magnesium chelatase ChlI-like, catalytic domain	9.015539882951556e-4	Ptrichocarpa
Neurobeachin/BDCP, DUF4704	9.015539882951556e-4	Ptrichocarpa
PAS fold-2	9.015539882951556e-4	Ptrichocarpa
Phytochrome	9.015539882951556e-4	Ptrichocarpa
Phytochrome A/B/C/D/E	9.015539882951556e-4	Ptrichocarpa
Phytochrome A/B/C/D/E-like, histidine-kinase-related domain	9.015539882951556e-4	Ptrichocarpa
Phytochrome chromophore attachment domain	9.015539882951556e-4	Ptrichocarpa
Phytochrome chromophore binding site	9.015539882951556e-4	Ptrichocarpa
Phytochrome, central region	9.015539882951556e-4	Ptrichocarpa
Phytochrome, PHY domain	9.015539882951556e-4	Ptrichocarpa
Proteasome subunit alpha6	9.015539882951556e-4	Ptrichocarpa
Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y	9.015539882951556e-4	Ptrichocarpa
RNA polymerase Rpb1, clamp domain superfamily	9.015539882951556e-4	Ptrichocarpa
U6 snRNA-associated Sm-like protein Lsm1/8	9.015539882951556e-4	Ptrichocarpa
Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily	9.077541734074171e-4	Ptrichocarpa
Glutamate/phenylalanine/leucine/valine dehydrogenase	9.077541734074171e-4	Ptrichocarpa
Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal	9.077541734074171e-4	Ptrichocarpa
Nop domain	9.077541734074171e-4	Ptrichocarpa
Proteinase inhibitor I25, cystatin, conserved site	9.077541734074171e-4	Ptrichocarpa
Aminoacyl-tRNA synthetase, class Ia	9.077541734074171e-4	Ptrichocarpa
Cullin	9.077541734074171e-4	Ptrichocarpa
F/V-ATP synthase subunit C superfamily	9.077541734074171e-4	Ptrichocarpa
V-ATPase proteolipid subunit C-like domain	9.077541734074171e-4	Ptrichocarpa
Aminotransferases, class-I, pyridoxal-phosphate-binding site	9.853974064414767e-4	Ptrichocarpa
Carbohydrate kinase PfkB	9.853974064414767e-4	Ptrichocarpa
Signal transduction response regulator, receiver domain	0.0012878516066778152	Ptrichocarpa
AIG1-type guanine nucleotide-binding (G) domain	0.0013474677872905559	Ptrichocarpa
Cullin, N-terminal	0.0013474677872905559	Ptrichocarpa
Potassium channel, voltage-dependent, EAG/ELK/ERG	0.0013474677872905559	Ptrichocarpa
Cyclic nucleotide-binding domain	0.001423950145715256	Ptrichocarpa
CheY-like superfamily	0.0014429312236019945	Ptrichocarpa
ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily	0.0016330283483064498	Ptrichocarpa
Metalloenzyme, LuxS/M16 peptidase-like	0.0016330283483064498	Ptrichocarpa
Nop domain superfamily	0.0016330283483064498	Ptrichocarpa
Nop, C-terminal domain	0.0016330283483064498	Ptrichocarpa
Peptidase M16, C-terminal	0.0016330283483064498	Ptrichocarpa
Peptidase M16, N-terminal	0.0016330283483064498	Ptrichocarpa
SDH, C-terminal	0.0016330283483064498	Ptrichocarpa
Shikimate dehydrogenase substrate binding, N-terminal	0.0016330283483064498	Ptrichocarpa
Superoxide dismutase (Cu/Zn) / superoxide dismutase copper chaperone	0.0016330283483064498	Ptrichocarpa
Superoxide dismutase, copper/zinc binding domain	0.0016330283483064498	Ptrichocarpa
Amine oxidase	0.0016330283483064498	Ptrichocarpa
Biotin/lipoyl attachment	0.0016330283483064498	Ptrichocarpa
Cellulose synthase	0.0016330283483064498	Ptrichocarpa
Glycoside hydrolase family 1	0.0016330283483064498	Ptrichocarpa
Cyclic nucleotide-binding-like	0.0016687713197235153	Ptrichocarpa
G-protein beta WD-40 repeat	0.0020804830391805205	Ptrichocarpa
RNA recognition motif domain	0.002183092774803889	Ptrichocarpa
SNF2, N-terminal	0.002244758769251621	Ptrichocarpa
RNA-binding domain superfamily	0.002372517993581872	Ptrichocarpa
Signal transduction histidine kinase-related protein, C-terminal	0.002596730140740712	Ptrichocarpa
SNF2-like, N-terminal domain superfamily	0.002606013990732381	Ptrichocarpa
Single hybrid motif	0.0026343754999055865	Ptrichocarpa
3-dehydroquinate dehydratase type I	0.0027186918861010602	Ptrichocarpa
Annexin D, plant	0.0027186918861010602	Ptrichocarpa
Calreticulin/calnexin	0.0027186918861010602	Ptrichocarpa
Calreticulin/calnexin, conserved site	0.0027186918861010602	Ptrichocarpa
Calreticulin/calnexin, P domain superfamily	0.0027186918861010602	Ptrichocarpa
Shikimate dehydrogenase family	0.0027186918861010602	Ptrichocarpa
Superoxide dismutase-like, copper/zinc binding domain superfamily	0.0027186918861010602	Ptrichocarpa
Rossmann-like alpha/beta/alpha sandwich fold	0.002723519153688828	Ptrichocarpa
26S proteasome regulatory subunit 8	0.002814582493711752	Ptrichocarpa
3-hydroxyacyl-CoA dehydrogenase, C-terminal	0.002814582493711752	Ptrichocarpa
3-hydroxyacyl-CoA dehydrogenase, conserved site	0.002814582493711752	Ptrichocarpa
Alpha-D-phosphohexomutase, C-terminal	0.002814582493711752	Ptrichocarpa
Alpha-D-phosphohexomutase, conserved site	0.002814582493711752	Ptrichocarpa
Beta-Casp domain	0.002814582493711752	Ptrichocarpa
Dehydroascorbate reductases DHAR1/2/3/4	0.002814582493711752	Ptrichocarpa
Dihydrofolate reductase domain	0.002814582493711752	Ptrichocarpa
Glutamyl/glutaminyl-tRNA synthetase	0.002814582493711752	Ptrichocarpa
Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain	0.002814582493711752	Ptrichocarpa
Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain	0.002814582493711752	Ptrichocarpa
HMGB9-like, ARID/BRIGHT DNA binding domain	0.002814582493711752	Ptrichocarpa
Malate dehydrogenase, NAD-dependent, cytosolic	0.002814582493711752	Ptrichocarpa
Methionyl/Leucyl tRNA synthetase	0.002814582493711752	Ptrichocarpa
Phosphatidylinositol kinase	0.002814582493711752	Ptrichocarpa
Phosphoglucomutase	0.002814582493711752	Ptrichocarpa
Phosphoinositide 3-kinase, accessory (PIK) domain	0.002814582493711752	Ptrichocarpa
Pyruvate dehydrogenase E1 component subunit beta	0.002814582493711752	Ptrichocarpa
Rmd5, degenerated RING (dRING) finger	0.002814582493711752	Ptrichocarpa
RNA polymerase Rpb1, domain 1	0.002814582493711752	Ptrichocarpa
RNA polymerase Rpb1, domain 3	0.002814582493711752	Ptrichocarpa
RuvB-like, AAA-lid domain	0.002814582493711752	Ptrichocarpa
Sm-like protein Lsm7/SmG	0.002814582493711752	Ptrichocarpa
Thymidylate synthase/dCMP hydroxymethylase	0.002814582493711752	Ptrichocarpa
GTPase GIMA/IAN/Toc	0.0032295482950067144	Ptrichocarpa
Ribokinase-like	0.0037726750390725356	Ptrichocarpa
Adaptor protein complex, sigma subunit	0.004059449612497097	Ptrichocarpa
EDS1, EP domain	0.004059449612497097	Ptrichocarpa
AMP-binding, conserved site	0.004849409195872461	Ptrichocarpa
Nucleotide-binding alpha-beta plait domain superfamily	0.004855051782812941	Ptrichocarpa
Longin-like domain superfamily	0.005523595416223581	Ptrichocarpa
Glycoside hydrolase superfamily	0.00606673177065943	Ptrichocarpa
Acyl carrier protein (ACP)	0.006099717711549331	Ptrichocarpa
Cystatin domain	0.006099717711549331	Ptrichocarpa
Malate dehydrogenase, type 2	0.006099717711549331	Ptrichocarpa
3-hydroxyacyl-CoA dehydrogenase, NAD binding	0.006383049133042379	Ptrichocarpa
Alpha-D-phosphohexomutase, C-terminal domain superfamily	0.006383049133042379	Ptrichocarpa
ATP-citrate lyase/succinyl-CoA ligase, active site	0.006383049133042379	Ptrichocarpa
ATP-citrate lyase/succinyl-CoA ligase, conserved site	0.006383049133042379	Ptrichocarpa
ClpP, Ser active site	0.006383049133042379	Ptrichocarpa
Dihydrofolate reductase-like domain superfamily	0.006383049133042379	Ptrichocarpa
FeS cluster biogenesis	0.006383049133042379	Ptrichocarpa
FeS cluster insertion protein	0.006383049133042379	Ptrichocarpa
HesB-like domain superfamily	0.006383049133042379	Ptrichocarpa
Pyridoxal-phosphate binding site	0.006383049133042379	Ptrichocarpa
Replication factor C, C-terminal	0.006383049133042379	Ptrichocarpa
RuvB-like	0.006383049133042379	Ptrichocarpa
RuvBL1/2, DNA/RNA binding domain	0.006383049133042379	Ptrichocarpa
TIP49, P-loop domain	0.006383049133042379	Ptrichocarpa
Transcription factor FAMA/SPEECHLESS/MUTE	0.006383049133042379	Ptrichocarpa
WD-repeat protein SPA1/2/3/4	0.006383049133042379	Ptrichocarpa
von Willebrand factor A-like domain superfamily	0.007880060818878336	Ptrichocarpa
2-oxoacid dehydrogenase acyltransferase, catalytic domain	0.008434835753903726	Ptrichocarpa
Chaperonin Cpn60, conserved site	0.008434835753903726	Ptrichocarpa
Chaperonin Cpn60/GroEL	0.008434835753903726	Ptrichocarpa
Sec23/Sec24 beta-sandwich	0.008434835753903726	Ptrichocarpa
WD40/YVTN repeat-like-containing domain superfamily	0.008557417127940907	Ptrichocarpa
WD40 repeat	0.008718356599177354	Ptrichocarpa
Immunoglobulin E-set	0.00964394096786761	Ptrichocarpa
AMP-dependent synthetase/ligase	0.010795015973968751	Ptrichocarpa
ANL, N-terminal domain	0.010795015973968751	Ptrichocarpa
Thiamin diphosphate-binding fold	0.010901625656644204	Ptrichocarpa
Annexin	0.011470851355085755	Ptrichocarpa
Enoyl-CoA hydratase/isomerase	0.011470851355085755	Ptrichocarpa
JmjN domain	0.011470851355085755	Ptrichocarpa
Alpha-D-phosphohexomutase superfamily	0.011470851355085755	Ptrichocarpa
Alpha-D-phosphohexomutase, alpha/beta/alpha domain I	0.011470851355085755	Ptrichocarpa
Alpha-D-phosphohexomutase, alpha/beta/alpha domain II	0.011470851355085755	Ptrichocarpa
Alpha-D-phosphohexomutase, alpha/beta/alpha domain III	0.011470851355085755	Ptrichocarpa
Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III	0.011470851355085755	Ptrichocarpa
Ethylene receptor	0.011470851355085755	Ptrichocarpa
Microtubule-associated protein 70	0.011470851355085755	Ptrichocarpa
MutS, connector domain superfamily	0.011470851355085755	Ptrichocarpa
PAS fold	0.011470851355085755	Ptrichocarpa
Phosphatidylinositol 3/4-kinase, conserved site	0.011470851355085755	Ptrichocarpa
Plastid division protein PDV1/PDV2	0.011470851355085755	Ptrichocarpa
Ribosomal protein L25/Gln-tRNA synthetase, N-terminal	0.011470851355085755	Ptrichocarpa
RNA polymerase Rpb1, domain 5	0.011470851355085755	Ptrichocarpa
RNA polymerase, N-terminal	0.011470851355085755	Ptrichocarpa
Signal recognition particle, SRP54 subunit	0.011470851355085755	Ptrichocarpa
Signal recognition particle, SRP54 subunit, M-domain	0.011470851355085755	Ptrichocarpa
Signal recognition particle, SRP54 subunit, M-domain superfamily	0.011470851355085755	Ptrichocarpa
Superoxide dismutase, copper/zinc, binding site	0.011470851355085755	Ptrichocarpa
V-ATPase proteolipid subunit C, eukaryotic	0.011470851355085755	Ptrichocarpa
Phospholipid/glycerol acyltransferase	0.012826121621813425	Ptrichocarpa
Ribonuclease H superfamily	0.014200905938736975	Ptrichocarpa
2-oxo acid dehydrogenase, lipoyl-binding site	0.014865791784577255	Ptrichocarpa
ACP-like superfamily	0.014865791784577255	Ptrichocarpa
Annexin repeat	0.014865791784577255	Ptrichocarpa
Gelsolin-like domain superfamily	0.014865791784577255	Ptrichocarpa
Phosphopantetheine binding ACP domain	0.014865791784577255	Ptrichocarpa
WD40-repeat-containing domain superfamily	0.015054804746523194	Ptrichocarpa
Immunoglobulin-like fold	0.015054804746523194	Ptrichocarpa
Acyl-coenzyme A oxidase 4-like	0.015054804746523194	Ptrichocarpa
Acyl-coenzyme A oxidase, N-terminal	0.015054804746523194	Ptrichocarpa
ADP-ribosylation factor GTPase-activating protein AGD6/7	0.015054804746523194	Ptrichocarpa
Alpha,alpha-trehalose-phosphate synthase	0.015054804746523194	Ptrichocarpa
Aminotransferase, class-II, pyridoxal-phosphate binding site	0.015054804746523194	Ptrichocarpa
Anthranilate synthase/para-aminobenzoate synthase like domain	0.015054804746523194	Ptrichocarpa
AP complex subunit beta	0.015054804746523194	Ptrichocarpa
AP-1/2/4 complex subunit beta	0.015054804746523194	Ptrichocarpa
AP-3 complex subunit sigma	0.015054804746523194	Ptrichocarpa
ATP synthase, F1 beta subunit	0.015054804746523194	Ptrichocarpa
ATP synthase, F1 beta subunit superfamily	0.015054804746523194	Ptrichocarpa
ATP synthase, F1 complex, beta subunit	0.015054804746523194	Ptrichocarpa
ATPase, V1 complex, subunit A	0.015054804746523194	Ptrichocarpa
ATPase, V1 complex, subunit B	0.015054804746523194	Ptrichocarpa
ATPsynthase alpha/beta subunit, N-terminal extension	0.015054804746523194	Ptrichocarpa
Beta-adaptin appendage, C-terminal subdomain	0.015054804746523194	Ptrichocarpa
Bifunctional dihydrofolate reductase/thymidylate synthase	0.015054804746523194	Ptrichocarpa
Bifunctional polymyxin resistance protein ArnA-like, extended (e) SDRs	0.015054804746523194	Ptrichocarpa
Chloroplast protein import component Toc34	0.015054804746523194	Ptrichocarpa
Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain	0.015054804746523194	Ptrichocarpa
Coatomer alpha subunit	0.015054804746523194	Ptrichocarpa
Coatomer beta' subunit (COPB2)	0.015054804746523194	Ptrichocarpa
Coatomer, alpha subunit, C-terminal	0.015054804746523194	Ptrichocarpa
Cytochrome cd1-nitrite reductase-like, haem d1 domain superfamily	0.015054804746523194	Ptrichocarpa
DHX15, DEXH-box helicase domain	0.015054804746523194	Ptrichocarpa
DHX8/ Prp22, DEXH-box helicase domain	0.015054804746523194	Ptrichocarpa
Dihydrolipoamide succinyltransferase	0.015054804746523194	Ptrichocarpa
DNA replication licensing factor Mcm5	0.015054804746523194	Ptrichocarpa
DNA-directed RNA polymerase, 30-40kDa subunit, conserved site	0.015054804746523194	Ptrichocarpa
DNA-directed RNA polymerase, insert domain	0.015054804746523194	Ptrichocarpa
DNA-directed RNA polymerase, insert domain superfamily	0.015054804746523194	Ptrichocarpa
DNA-directed RNA polymerase, RpoA/D/Rpb3-type	0.015054804746523194	Ptrichocarpa
Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase	0.015054804746523194	Ptrichocarpa
E2 binding	0.015054804746523194	Ptrichocarpa
E3 ubiquitin ligase Bre1	0.015054804746523194	Ptrichocarpa
eIF3B, RNA recognition motif	0.015054804746523194	Ptrichocarpa
Eukaryotic molybdopterin oxidoreductase	0.015054804746523194	Ptrichocarpa
Eukaryotic translation initiation factor 3 subunit B	0.015054804746523194	Ptrichocarpa
Exosome complex component RRP45	0.015054804746523194	Ptrichocarpa
FeS assembly protein IscA, plant/cyanobacteria type	0.015054804746523194	Ptrichocarpa
Glutamine-tRNA ligase, alpha-bundle domain superfamily	0.015054804746523194	Ptrichocarpa
Glutamyl-tRNA synthetase, archaeal/eukaryotic cytosolic	0.015054804746523194	Ptrichocarpa
Glycosyl transferase, ALG6/ALG8	0.015054804746523194	Ptrichocarpa
Isoleucine-tRNA ligase, type 2	0.015054804746523194	Ptrichocarpa
Isoleucyl tRNA synthetase type 2, anticodon-binding domain	0.015054804746523194	Ptrichocarpa
Long-chain fatty acid CoA synthetase, eukaryotic	0.015054804746523194	Ptrichocarpa
Magnesium chelatase, ATPase subunit I	0.015054804746523194	Ptrichocarpa
Magnesium-chelatase subunit ChlI-like	0.015054804746523194	Ptrichocarpa
Methionine-tRNA ligase, type 1	0.015054804746523194	Ptrichocarpa
Methioninyl-tRNA synthetase core domain	0.015054804746523194	Ptrichocarpa
Methionyl-tRNA synthetase	0.015054804746523194	Ptrichocarpa
Methionyl-tRNA synthetase, anticodon-binding domain	0.015054804746523194	Ptrichocarpa
Methionyl-tRNA synthetase, Zn-domain	0.015054804746523194	Ptrichocarpa
Mitochondrial pyruvate carrier	0.015054804746523194	Ptrichocarpa
Moybdenum cofactor oxidoreductase, dimerisation	0.015054804746523194	Ptrichocarpa
MT-A70-like	0.015054804746523194	Ptrichocarpa
N-acetyltransferase Ard1-like	0.015054804746523194	Ptrichocarpa
N6-adenosine-methyltransferase non-catalytic subunit METTL14-like	0.015054804746523194	Ptrichocarpa
NEDD8-activating enzyme E1 catalytic subunit	0.015054804746523194	Ptrichocarpa
Nitrate reductase NADH dependent	0.015054804746523194	Ptrichocarpa
NTP pyrophosphohydrolase MazG, putative catalytic core	0.015054804746523194	Ptrichocarpa
Oxidoreductase, molybdopterin binding site	0.015054804746523194	Ptrichocarpa
Oxidoreductase, molybdopterin-binding domain	0.015054804746523194	Ptrichocarpa
Oxidoreductase, molybdopterin-binding domain superfamily	0.015054804746523194	Ptrichocarpa
PDK1-type, PH domain	0.015054804746523194	Ptrichocarpa
PDPK1 family	0.015054804746523194	Ptrichocarpa
PdxS/SNZ N-terminal domain	0.015054804746523194	Ptrichocarpa
Phospholipase D, eukaryotic type	0.015054804746523194	Ptrichocarpa
Proteasome beta 3 subunit	0.015054804746523194	Ptrichocarpa
Proteasome subunit alpha 1	0.015054804746523194	Ptrichocarpa
Proteasome subunit alpha4	0.015054804746523194	Ptrichocarpa
Proteasome subunit alpha5	0.015054804746523194	Ptrichocarpa
Proteasome subunit beta 2	0.015054804746523194	Ptrichocarpa
Pyridine nucleotide-disulphide oxidoreductase, class-II, active site	0.015054804746523194	Ptrichocarpa
Pyridoxal 5'-phosphate synthase subunit PdxS/SNZ	0.015054804746523194	Ptrichocarpa
Rad21/Rec8-like protein	0.015054804746523194	Ptrichocarpa
Rad21/Rec8-like protein, C-terminal, eukaryotic	0.015054804746523194	Ptrichocarpa
Rad21/Rec8-like protein, N-terminal	0.015054804746523194	Ptrichocarpa
RNA helicase UPF1, 1B domain	0.015054804746523194	Ptrichocarpa
RNA helicase UPF1, Cys/His rich zinc-binding domain	0.015054804746523194	Ptrichocarpa
RNA polymerase, RBP11-like subunit	0.015054804746523194	Ptrichocarpa
RuvB-like helicase 2	0.015054804746523194	Ptrichocarpa
Serine/Threonine Kinase AGC, catalytic domain	0.015054804746523194	Ptrichocarpa
SETD2/Set2, SET domain	0.015054804746523194	Ptrichocarpa
Shikimate dehydrogenase	0.015054804746523194	Ptrichocarpa
Signal recognition particle receptor, alpha subunit, N-terminal	0.015054804746523194	Ptrichocarpa
Sirtuin family	0.015054804746523194	Ptrichocarpa
Sirtuin family, catalytic core domain	0.015054804746523194	Ptrichocarpa
Sm-like protein Lsm1	0.015054804746523194	Ptrichocarpa
Sm-like protein Lsm4	0.015054804746523194	Ptrichocarpa
Small nuclear ribonucleoprotein G	0.015054804746523194	Ptrichocarpa
Small nuclear ribonucleoprotein Sm D3	0.015054804746523194	Ptrichocarpa
Smc2, ATP-binding cassette domain	0.015054804746523194	Ptrichocarpa
SUMO-activating enzyme subunit Uba2	0.015054804746523194	Ptrichocarpa
T-complex protein 1, alpha subunit	0.015054804746523194	Ptrichocarpa
T-complex protein 1, beta subunit	0.015054804746523194	Ptrichocarpa
T-complex protein 1, delta subunit	0.015054804746523194	Ptrichocarpa
T-complex protein 1, epsilon subunit	0.015054804746523194	Ptrichocarpa
T-complex protein 1, eta subunit	0.015054804746523194	Ptrichocarpa
T-complex protein 1, theta subunit	0.015054804746523194	Ptrichocarpa
Thioredoxin reductase	0.015054804746523194	Ptrichocarpa
Thymidylate synthase	0.015054804746523194	Ptrichocarpa
Thymidylate synthase, active site	0.015054804746523194	Ptrichocarpa
Thymidylate synthase/dCMP hydroxymethylase domain	0.015054804746523194	Ptrichocarpa
Thymidylate synthase/dCMP hydroxymethylase superfamily	0.015054804746523194	Ptrichocarpa
Translation initiation factor eIF-2B subunit alpha, N-terminal	0.015054804746523194	Ptrichocarpa
Translation initiation factor, beta propellor-like domain	0.015054804746523194	Ptrichocarpa
Ubiquitin/SUMO-activating enzyme ubiquitin-like domain	0.015054804746523194	Ptrichocarpa
V-type ATP synthase catalytic alpha chain	0.015054804746523194	Ptrichocarpa
V-type ATP synthase regulatory subunit B/beta	0.015054804746523194	Ptrichocarpa
Valyl-tRNA synthetase, tRNA-binding arm superfamily	0.015054804746523194	Ptrichocarpa
ATP-citrate lyase/succinyl-CoA ligase	0.015054804746523194	Ptrichocarpa
Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase	0.015054804746523194	Ptrichocarpa
RNA polymerase Rpb1, domain 3 superfamily	0.015054804746523194	Ptrichocarpa
RNA polymerase, alpha subunit	0.015054804746523194	Ptrichocarpa
Zn-dependent metallo-hydrolase, RNA specificity domain	0.015054804746523194	Ptrichocarpa
Annexin superfamily	0.015409280053420628	Ptrichocarpa
Myc-type, basic helix-loop-helix (bHLH) domain	0.017079865336376187	Ptrichocarpa
Helix-loop-helix DNA-binding domain superfamily	0.018823363301752008	Ptrichocarpa
AMP-activated protein kinase, glycogen-binding domain	0.019812632033181652	Ptrichocarpa
THIF-type NAD/FAD binding fold	0.019812632033181652	Ptrichocarpa
ThiF/MoeB/HesA family	0.019812632033181652	Ptrichocarpa
Ubiquitin-activating enzyme	0.019812632033181652	Ptrichocarpa
Glutathione S-transferase, C-terminal domain superfamily	0.022073895783333443	Ptrichocarpa
Circularly permuted (CP)-type guanine nucleotide-binding (G) domain	0.022842195866868586	Ptrichocarpa
Dehydrogenase, E1 component	0.022842195866868586	Ptrichocarpa
Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain	0.022842195866868586	Ptrichocarpa
Kelch repeat type 2	0.022842195866868586	Ptrichocarpa
NADH:cytochrome b5 reductase-like	0.022842195866868586	Ptrichocarpa
Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain superfamily	0.022842195866868586	Ptrichocarpa
Ribosomal protein L7Ae/L8/Nhp2 family	0.022842195866868586	Ptrichocarpa
Translocase of chloroplast Toc86/159	0.022842195866868586	Ptrichocarpa
AP complex, mu/sigma subunit	0.024675229386690884	Ptrichocarpa
Glycoside hydrolase family 3 C-terminal domain	0.024675229386690884	Ptrichocarpa
Glycoside hydrolase family 3 C-terminal domain superfamily	0.024675229386690884	Ptrichocarpa
Transcription factor TGA like domain	0.024675229386690884	Ptrichocarpa
HAD-like superfamily	0.025771754552181475	Ptrichocarpa
Concanavalin A-like lectin/glucanase domain superfamily	0.02946982134524302	Ptrichocarpa
Band 7 domain	0.030660816265178817	Ptrichocarpa
Band 7/SPFH domain superfamily	0.030660816265178817	Ptrichocarpa
DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	0.030660816265178817	Ptrichocarpa
WD40 repeat, conserved site	0.03102199675810868	Ptrichocarpa
HAD superfamily	0.03244458811257271	Ptrichocarpa
DNA mismatch repair protein MutS, core	0.032634276351325944	Ptrichocarpa
DNA mismatch repair protein MutS, core domain superfamily	0.032634276351325944	Ptrichocarpa
Oleosin	0.032634276351325944	Ptrichocarpa
Arf GTPase activating protein	0.037211004768979684	Ptrichocarpa
ArfGAP domain superfamily	0.037211004768979684	Ptrichocarpa
ARFGAP/RecO-like zinc finger	0.037211004768979684	Ptrichocarpa
Glycoside hydrolase, family 3, N-terminal	0.037211004768979684	Ptrichocarpa
Glycoside hydrolase, family 3, N-terminal domain superfamily	0.037211004768979684	Ptrichocarpa
Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	0.037908355599452485	Ptrichocarpa
Acetyl-CoA carboxylase, central domain	0.038948404138786794	Ptrichocarpa
Acyl-CoA dehydrogenase, conserved site	0.038948404138786794	Ptrichocarpa
Aminotransferase, class IV, conserved site	0.038948404138786794	Ptrichocarpa
ATP-dependent Clp protease ATP-binding subunit CLPT1/2	0.038948404138786794	Ptrichocarpa
Branched-chain aminotransferase	0.038948404138786794	Ptrichocarpa
CoA-binding	0.038948404138786794	Ptrichocarpa
Cyclin-dependent kinase 7	0.038948404138786794	Ptrichocarpa
Dihydrofolate reductase conserved site	0.038948404138786794	Ptrichocarpa
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	0.038948404138786794	Ptrichocarpa
DNA mismatch repair protein MutS, clamp	0.038948404138786794	Ptrichocarpa
E3 ubiquitin-protein ligase COP1	0.038948404138786794	Ptrichocarpa
Glycoside hydrolase family 27/36, conserved site	0.038948404138786794	Ptrichocarpa
Isoleucine-tRNA ligase	0.038948404138786794	Ptrichocarpa
Isw1/2, N-terminal	0.038948404138786794	Ptrichocarpa
ISWI, HAND domain	0.038948404138786794	Ptrichocarpa
ISWI, HAND domain superfamily	0.038948404138786794	Ptrichocarpa
Next to BRCA1, central domain	0.038948404138786794	Ptrichocarpa
Polycomb protein, VEFS-Box	0.038948404138786794	Ptrichocarpa
Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term	0.038948404138786794	Ptrichocarpa
Protein SET DOMAIN GROUP 2, C-terminal	0.038948404138786794	Ptrichocarpa
RNA polymerase Rpb1, domain 4	0.038948404138786794	Ptrichocarpa
ScpA-like, C-terminal	0.038948404138786794	Ptrichocarpa
Signal recognition particle, SRP54 subunit, eukaryotic	0.038948404138786794	Ptrichocarpa
SLIDE domain	0.038948404138786794	Ptrichocarpa
Spo11/DNA topoisomerase VI subunit A	0.038948404138786794	Ptrichocarpa
Spo11/DNA topoisomerase VI subunit A superfamily	0.038948404138786794	Ptrichocarpa
Spo11/DNA topoisomerase VI, subunit A, N-terminal	0.038948404138786794	Ptrichocarpa
Succinyl-CoA ligase, alpha subunit	0.038948404138786794	Ptrichocarpa
T-complex protein 1, gamma subunit	0.038948404138786794	Ptrichocarpa
T-complex protein 1, zeta subunit	0.038948404138786794	Ptrichocarpa
Topoisomerase 6 subunit A/Spo11, TOPRIM domain	0.038948404138786794	Ptrichocarpa
Trafficking protein particle complex subunit	0.038948404138786794	Ptrichocarpa
Transcription factor PIF3-like	0.038948404138786794	Ptrichocarpa
RNA recognition motif domain, eukaryote	0.04132783702978816	Ptrichocarpa
Aminoacyl-tRNA synthetase, class II (D/K/N)	0.04192496357751638	Ptrichocarpa
Annexin repeat, conserved site	0.04192496357751638	Ptrichocarpa
DNA mismatch repair protein MutS, C-terminal	0.04192496357751638	Ptrichocarpa
DNA-directed RNA polymerase, subunit beta-prime	0.04192496357751638	Ptrichocarpa
Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	0.04192496357751638	Ptrichocarpa
Translocase of chloroplast 159/132, membrane anchor domain	0.04192496357751638	Ptrichocarpa
Linker histone H1/H5, domain H15	0.04192496357751638	Ptrichocarpa
Lipoxygenase, domain 3	0.04192496357751638	Ptrichocarpa
Lipoxygenase, iron binding site	0.04192496357751638	Ptrichocarpa
Lipoxygenase, plant	0.04192496357751638	Ptrichocarpa
Phosphoribosyltransferase domain	0.04192496357751638	Ptrichocarpa
Phosphoribosyltransferase-like	0.04192496357751638	Ptrichocarpa
proteasomal protein catabolic process	3.86035985915485e-13	Slycopersicum
proteasomal ubiquitin-independent protein catabolic process	3.86035985915485e-13	Slycopersicum
proteasome-mediated ubiquitin-dependent protein catabolic process	6.859421178293932e-11	Slycopersicum
